id,trt_image,volt
EP1131,CON_neu_10_12,.
EP1132,CON_neu_10_12,-26.83066667
EP1140,CON_neu_10_12,.
EP1141,CON_neu_10_12,263.2431667
EP1142,CON_neu_10_12,52.3165
EP1146,CON_neu_10_12,34.71933333
EP1147,CON_neu_10_12,13.01716667
EP1148,CON_neu_10_12,-81.523
EP1150,CON_neu_10_12,-6.362166667
EP1156,CON_neu_10_12,.
EP1157,CON_neu_10_12,.
EP1158,CON_neu_10_12,-9.8115
EP1159,CON_neu_10_12,45.10766667
EP1160,CON_neu_10_12,-22.436
EP1161,CON_neu_10_12,13.185
EP1163,CON_neu_10_12,.
EP1164,CON_neu_10_12,.
EP1166,CON_neu_10_12,10.82116667
EP1167,CON_neu_10_12,36.77616667
EP1168,CON_neu_10_12,19.405
EP1170,CON_neu_10_12,.
EP1172,CON_neu_10_12,.
EP1173,CON_neu_10_12,75.19333333
EP1174,CON_neu_10_12,-44.60066667
EP1175,CON_neu_10_12,38.8975
EP1176,CON_neu_10_12,16.14383333
EP1132,PRE_neu_10_12,10.71266667
EP1140,PRE_neu_10_12,-5.133833333
EP1141,PRE_neu_10_12,.
EP1142,PRE_neu_10_12,35.419
EP1146,PRE_neu_10_12,-22.6185
EP1147,PRE_neu_10_12,-97.48433333
EP1148,PRE_neu_10_12,-9.934333333
EP1150,PRE_neu_10_12,.
EP1157,PRE_neu_10_12,-26.44683333
EP1158,PRE_neu_10_12,.
EP1159,PRE_neu_10_12,-13.681
EP1160,PRE_neu_10_12,-10.185
EP1161,PRE_neu_10_12,25.31016667
EP1163,PRE_neu_10_12,.
EP1164,PRE_neu_10_12,.
EP1166,PRE_neu_10_12,.
EP1167,PRE_neu_10_12,139.617
EP1168,PRE_neu_10_12,6.598
EP1170,PRE_neu_10_12,24.97
EP1172,PRE_neu_10_12,1.863166667
EP1173,PRE_neu_10_12,2.827
EP1174,PRE_neu_10_12,-22.51283333
EP1175,PRE_neu_10_12,.
EP1176,PRE_neu_10_12,-1.773833333
